2026-05-18 20:16:42,370 | CAMERA_MANAGER | INFO | Starting camera c1
2026-05-18 20:16:42,381 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v1.mp4
2026-05-18 20:16:42,381 | CAMERA_MANAGER | INFO | Starting camera c2
2026-05-18 20:16:42,381 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v2.mp4
2026-05-18 20:16:42,381 | CAMERA_MANAGER | INFO | Starting camera c3
2026-05-18 20:16:42,381 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v3.mp4
2026-05-18 20:16:42,381 | CAMERA_MANAGER | INFO | Starting camera c4
2026-05-18 20:16:42,381 | CAMERA_MANAGER | INFO | Opening Video Path : C:\Users\nedur\Downloads\combined_data\videos\v4.mp4
2026-05-18 20:16:43,171 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:43,175 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:43,185 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:43,189 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:43,225 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:43,225 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:43,225 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:43,247 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:43,350 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:43,360 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:43,370 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:43,388 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:43,462 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-18 20:16:43,476 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-18 20:16:43,508 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-18 20:16:43,521 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-18 20:16:43,601 | CAMERA_MANAGER | INFO | Sending frame from c2
