2026-06-01 19:29:45,599 | ROI | INFO | RabbitMQ Connected
2026-06-01 19:29:45,614 | ROI | INFO | Redis Connected
2026-06-01 19:29:45,854 | ROI | INFO | Waiting For Frames...
2026-06-01 19:29:45,918 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:45,966 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,016 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,130 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,180 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,230 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,278 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,320 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,351 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,351 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,364 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,419 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,419 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,425 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,432 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,446 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,490 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,498 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,561 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,564 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,618 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,671 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,736 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,744 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,752 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,776 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,783 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,785 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,798 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,802 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,807 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,832 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,839 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,845 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,861 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,861 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,916 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,973 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,975 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,975 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:46,983 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,007 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,067 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,069 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,075 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,085 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,153 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,198 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,198 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,219 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,223 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,282 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,286 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,297 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,305 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,307 | ROI | INFO | Saved To Redis : vehicle_frames
2026-06-01 19:29:47,329 | ROI | INFO | Saved To Redis : vehicle_frames
